date,open,high,low,close
2022-01-28,12.3,12.43,11.73,12.32
2022-01-31,12.429,12.89,12.1,12.89
2022-02-01,13.1,13.1,12.6,12.6
2022-02-02,12.909,12.937,12.62,12.65
2022-02-03,12.16,12.209,12.082,12.14
2022-02-04,12.11,12.56,12.11,12.5
2022-02-07,12.63,12.97,12.06,12.06
2022-02-08,12.18,13.25,12.18,12.95
2022-02-09,12.75,13.9,12.75,13.86
2022-02-10,13.64,13.68,13.5,13.5
2022-02-11,13.43,13.86,12.407,12.81
2022-02-14,12.59,13.06,12.535,12.91
2022-02-15,12.71,13.25,12.7,13.25
2022-02-16,12.76,13.42,12.76,13.31
2022-02-17,12.69,13.2,12.5,12.5
2022-02-18,12.94,12.94,12.02,12.46
2022-02-22,12.18,12.18,10.93,10.93
2022-02-23,7.5,9.89,7.5,9.89
2022-02-24,8.79,11.32,8.79,11.32
2022-02-25,11.02,11.52,10.83,11.52
2022-02-28,11,11.96,10.91,11.68
2022-03-01,11.43,11.43,10.4,10.54
2022-03-02,10.73,10.73,10.24,10.52
